Data,preco_soja_usd,petroleo_wti_usd,dxy_index,taxa_cambio_usd_brl,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT,Estoque_Argentina_MT
2009-10-01,918.0,77.0,76.3,1.7635,157.8,70.8,0.307,180.613867890286,5113.842756183745,0.6524214162348878,1.273469387755102,1.3428853146853144
2009-11-01,1057.88,77.28,74.78,1.7555,170.6,60.2,-0.252,181.1020724691532,5247.247349823322,0.5815060449050087,1.0005830903790087,1.0857370629370628
2009-12-01,1049.25,79.36,77.86,1.743,194.0,42.6,0.28,174.3213936175036,4891.501766784453,0.4964075993091537,0.8489795918367348,0.9143048951048948
2010-01-01,915.5,72.89,79.46,1.885,207.1,32.2,0.497,173.7088924688972,3467.6899293286224,0.454818652849741,1.0005830903790087,0.8493146853146853
2010-02-01,962.63,79.66,80.36,1.8072,196.6,37.0,0.664,171.45833910947624,3328.9823321554773,0.3840690846286702,1.400816326530612,0.990867132867133
2010-03-01,940.38,83.76,81.07,1.7837,183.6,60.4,0.101,167.43838149861276,3467.6899293286224,0.323426597582038,2.4013994169096207,1.4155244755244758
2010-04-01,999.75,86.15,81.87,1.7375,160.2,85.0,0.632,163.6356155351436,3606.397526501768,0.2728911917098445,3.401982507288629,2.123286713286713
2010-05-01,940.88,73.97,86.59,1.8201,106.3,109.5,-0.118,160.6475213830697,3930.048586572439,0.2324628670120898,4.002332361516035,2.689496503496504
2010-06-01,934.38,75.63,86.02,1.8039,80.4,116.3,0.152,148.06022324549747,4253.69964664311,0.2021416234887738,3.5220524781341105,2.831048951048952
2010-07-01,1013.88,78.95,81.54,1.754,67.4,102.7,0.983,142.55691465101677,4392.407243816255,0.2223557858376511,3.001749271137025,2.406391608391609
2010-08-01,1010.63,71.92,83.2,1.755,77.8,97.9,0.292,138.8920444825033,4854.765901060072,0.2829982728842833,2.521469387755102,1.981734265734266
2010-09-01,1102.63,79.97,78.72,1.6876,114.1,83.8,-0.022,135.2186206322734,5178.416961130743,1.0107081174438688,2.0812128279883377,1.6420083916083916
2010-10-01,1241.63,81.43,77.27,1.7012,157.8,70.8,0.024,138.36362348648703,5317.124558303887,0.9298514680483594,1.6809795918367345,1.3305930069930072
2010-11-01,1245.88,84.11,81.19,1.715,170.6,60.2,-0.184,135.26332212983235,5455.832155477032,0.8287806563039725,1.3207696793002912,1.0757986013986016
2010-12-01,1403.88,91.38,79.03,1.6595,194.0,42.6,-0.749,135.13983838679414,5085.94522968198,0.707495682210708,1.1206530612244898,0.9059356643356644
2011-01-01,1410.88,92.19,77.73,1.6675,207.1,32.2,-0.497,132.0601409102154,3924.315371024736,0.3582901554404146,0.632069970845481,0.6015944055944055
2011-02-01,1365.88,96.97,76.89,1.6638,196.6,37.0,-0.773,130.73542517834892,3767.342756183746,0.3025561312607945,0.8848979591836733,0.7018601398601397
2011-03-01,1416.63,106.72,75.86,1.632,183.6,60.4,-0.352,129.30241478364874,3924.315371024736,0.2547841105354059,1.5169679300291543,1.0026573426573426
2011-04-01,1394.88,113.93,72.93,1.5775,160.2,85.0,-0.614,120.95932611494402,4081.2879858657257,0.2149740932642487,2.149037900874635,1.5039860139860135
2011-05-01,1382.38,102.7,74.64,1.58,106.3,109.5,0.19,113.36696719846891,4447.5574204947,0.183126079447323,2.528279883381924,1.9050489510489508
2011-06-01,1303.75,95.42,74.3,1.5622,80.4,116.3,-0.18,108.5593199978122,4813.826855123675,0.1592400690846287,2.224886297376093,2.0053146853146853
2011-07-01,1352.75,95.7,73.9,1.549,67.4,102.7,-0.255,108.02235597259298,4970.799469964665,0.1751640759930915,1.8962099125364429,1.7045174825174825
2011-08-01,1455.13,88.81,74.12,1.5892,77.8,97.9,0.147,108.23466117144044,5494.041519434631,0.2229360967184802,1.5928163265306123,1.4037202797202797
2011-09-01,1175.13,79.2,78.55,1.879,114.1,83.8,-0.389,123.33451263793496,5860.310954063606,0.7962003454231433,1.3147055393586005,1.1630825174825172
2011-10-01,1214.0,93.19,76.17,1.7172,157.8,70.8,-0.182,119.8442106587576,6017.283568904593,0.732504317789292,1.0618775510204082,0.942497902097902
2011-11-01,1133.38,100.36,78.38,1.8083,170.6,60.2,0.396,119.69931517543004,6174.256183745583,0.6528842832469777,0.834332361516035,0.7620195804195804
2011-12-01,1211.88,98.83,80.18,1.8632,194.0,42.6,-0.366,119.98974149281707,5755.662544169612,0.5573402417962003,0.7079183673469388,0.6417006993006992
2012-01-01,1200.38,98.48,79.29,1.7472,207.1,32.2,-0.182,118.1183024529182,3966.320671378093,0.297279792746114,0.7370626822157434,0.7254965034965034
2012-02-01,1319.13,107.07,78.74,1.7174,196.6,37.0,-0.024,118.83360965775358,3807.6678445229686,0.2510362694300518,1.031887755102041,0.8464125874125874
2012-03-01,1401.88,103.02,79.0,1.8264,183.6,60.4,0.296,118.4120328095311,3966.320671378093,0.21139896373057,1.7689504373177842,1.2091608391608393
2012-04-01,1500.88,104.87,78.78,1.9088,160.2,85.0,-0.287,116.99852549270258,4124.973498233217,0.1783678756476684,2.506013119533528,1.813741258741259
